# Source: Daly & Le Goff (1996), Tbl 2. Typo corrected (1525: 54.57 to 64.57)
# doi: 10.1016/0031-9201(95)03075-1
Date Nsi Wsi Wsa Inc Dec a95 ax ay omega
1075 5 2.7 27.9 61.76 17.14 0.90 0.77 1.03 153.16
1100 3 1.4 14.1 61.79 17.24 1.10 0.92 1.23 123.39
1125 3 1.5 13.7 61.59 16.21 1.03 0.98 1.14 125.11
1150 3 2.3 19.5 60.77 13.69 1.19 0.95 1.39 116.36
1175 5 2.9 26.8 59.62 11.66 1.11 0.94 1.29 128.04
1200 4 3.4 35.1 58.65 10.85 0.85 0.84 0.99 135.55
1225 8 4.1 45.0 57.84 9.67 0.67 0.73 0.77 50.34
1250 9 6.0 63.3 56.76 9.49 0.59 0.57 0.76 21.48
1275 11 7.5 86.5 56.84 8.77 0.54 0.47 0.68 27.58
1300 10 7.7 97.5 56.53 8.55 0.53 0.44 0.66 25.73
1325 11 7.8 103.8 56.25 6.29 0.57 0.61 0.63 71.31
1350 11 8.4 97.5 55.29 4.04 0.70 0.70 0.80 162.27
1375 10 6.9 72.7 55.00 2.98 0.62 0.78 0.94 172.68
1400 6 4.0 38.4 54.83 2.20 1.21 0.99 1.48 172.99
1425 5 1.6 13.4 58.52 5.54 2.19 1.35 2.76 160.53
1450 4 2.6 23.7 62.82 8.61 1.77 0.85 2.35 171.17
1475 5 3.7 33.1 63.53 9.26 1.36 0.71 1.81 173.76
1500 5 3.4 30.9 64.22 9.72 1.29 0.72 1.70 179.34
1525 6 2.8 24.2 64.57 9.67 1.29 0.78 1.67 9.01
1550 6 4.7 47.1 65.13 8.48 1.08 0.69 1.36 179.11
1575 5 4.3 44.3 65.67 8.23 1.10 0.72 1.35 175.94
1600 5 3.9 40.6 65.75 8.07 1.19 0.76 1.47 175.82
1625 3 0.8 6.2 67.04 7.03 2.33 1.61 2.83 29.89
1650 3 1.6 10.1 71.17 -1.83 1.76 1.55 1.95 61.43
1675 3 2.1 13.7 71.46 -4.95 1.47 1.22 1.71 75.06
1700 3 2.1 13.9 71.57 -5.79 1.40 1.19 1.64 80.14
1725 1 0.9 6.1 71.68 -11.54 1.33 1.33 1.33 0.00
1750 2 1.2 8.8 71.43 -15.52 0.82 0.74 0.91 103.29
1775 1 1.0 7.0 71.35 -16.49 0.68 0.68 0.68 0.00
1800 2 2.0 13.0 69.81 -18.52 1.10 0.77 1.38 157.36
